collision-id,report-number,report-version,is-preliminary,ncic-code,crash-date-time,crash-time-description,beat,city-id,city-code,city-name,county-code,city-is-active,city-is-incorporated,collision-type-code,collision-type-description,collision-type-other-desc,day-of-week,dispatch-notified,has-photographs,hit-run,is-attachments-mailed,is-deleted,is-highway-related,is-tow-away,judicial-district,motor-vehicle-involved-with-code,motor-vehicle-involved-with-desc,motor-vehicle-involved-with-other-desc,number-injured,number-killed,lighting-code,lighting-description,latitude,longitude,milepost-direction,milepost-distance,milepost-marker,milepost-unit-of-measure,pedestrian-action-code,pedestrian-action-desc,prepared-date,primary-collision-factor-code,primary-collision-factor-description,primary-collision-factor-is-cited,primary-collision-party-number,primary-road,reporting-district,reporting-district-code,reviewed-date,roadway-surface-code,secondary-direction,secondary-distance,secondary-road,secondary-unit-of-measure,sketch-desc,traffic-control-device-code,created-date,modified-date,is-county-road,is-freeway,chp-555-version,is-additonal-object-struck,notification-date,notification-time-description,has-digital-media-files,evidence-number,is-location-refer-to-narrative,is-aoi-one-same-as-location
10316,9370-2015-0232,1,False,9370,8/14/2015 2:05:00 AM,205,8,14,109,Oakland,1,True,True,C,REAR END,,Friday,NotApplicable,False,M,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,D,DARK-NO STREET LIGHTS,37.82636,-122.28979,,,,,A,NO PEDESTRIANS INVOLVED,8/14/2015 12:00:00 AM,A,22350,False,1,I-80 E/B to I-580 E/B,,,8/21/2015 10:35:00 AM,A,E,150.0,Madela Pkwy.,F,,D,8/21/2015 10:35:34 AM,8/21/2015 10:35:34 AM,,,2,,,,,,,
10300,9370-2015-0229,1,False,9370,8/14/2015 9:17:00 PM,2117,8,14,109,Oakland,1,True,True,C,REAR END,,Friday,Yes,False,,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,1,0,C,DARK-STREET LIGHTS,37.493027,-122.182538,,,,,A,NO PEDESTRIANS INVOLVED,8/14/2015 12:00:00 AM,A,22350,True,1,I-80 W/B,,,8/21/2015 9:39:38 AM,A,W,158.0,I-880 N/B to I-80 W/B O/C,F,,D,8/21/2015 9:40:54 AM,8/21/2015 9:40:54 AM,,,2,,,,,,,
10295,9370-2015-0188,1,False,9370,8/11/2015 5:20:00 PM,1720,55,14,109,Oakland,1,True,True,E,HIT OBJECT,,Tuesday,NotApplicable,False,M,,False,True,True,Oakland Superior,I,FIXED OBJECT,Light Pole,0,0,A,DAYLIGHT,37.493583,-122.1638,,,,,A,NO PEDESTRIANS INVOLVED,8/11/2015 12:00:00 AM,A,22107,False,1,I-580 E/B,,,8/21/2015 9:33:19 AM,A,E,360.0,San Pablo Ave,F,,D,8/21/2015 9:33:52 AM,8/21/2015 9:33:52 AM,,,2,,,,,,,
10286,9370-2015-0242,1,False,9370,8/14/2015 3:45:00 PM,1545,54,14,109,Oakland,1,True,True,C,REAR END,,Friday,NotApplicable,False,,,False,True,False,OAKLAND SUPERIOR,C,OTHER MOTOR VEHICLE,,1,0,A,DAYLIGHT,37.815901,-122.251492,,,,,A,NO PEDESTRIANS INVOLVED,8/14/2015 12:00:00 AM,A,22350,False,1,i-580 E/B (MACARTHUR FREEWAY),,,8/21/2015 9:19:36 AM,A,E,75.0,CHETWOOD STREET,F,,D,8/21/2015 9:20:25 AM,8/21/2015 9:20:25 AM,,,2,,,,,,,
10282,9370-2015-0184,2,False,9370,8/12/2015 8:45:00 AM,845,24,14,109,Oakland,1,True,True,C,REAR END,,Wednesday,NotApplicable,False,,,False,True,True,OAKLAND SUPERIOR,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.512,-122.1259,,,,,A,NO PEDESTRIANS INVOLVED,8/12/2015 12:00:00 AM,A,22350,False,1,SR-24 W/B,,,8/25/2015 10:16:05 AM,A,W,2692.0,FISH RANCH RD,F,,D,8/21/2015 9:07:26 AM,8/25/2015 10:16:23 AM,,,2,,,,,,,
10267,9370-2015-0190,1,False,9370,8/11/2015 11:15:00 PM,2315,54,14,109,Oakland,1,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,D,DARK-NO STREET LIGHTS,37.80765,-122.2404,,,,,A,NO PEDESTRIANS INVOLVED,8/11/2015 12:00:00 AM,A,22350,False,1,I-580 E/B,,,8/21/2015 8:21:29 AM,A,E,1200.0,Lakeshore Ave,F,,A,8/21/2015 8:22:12 AM,8/21/2015 8:22:12 AM,,,2,,,,,,,
10263,9370-2015-0158,1,False,9370,8/10/2015 12:05:00 PM,1205,24,14,109,Oakland,1,True,True,B,SIDE SWIPE,,Monday,NotApplicable,False,,,False,False,False,OAKLAND SUPERIOR,E,PARKED MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.8394,-122.2596,,,,,A,NO PEDESTRIANS INVOLVED,8/10/2015 12:00:00 AM,A,22107,False,1,5300 CLAREMONT AVE.-  PARKING LOT1,,,8/21/2015 8:12:41 AM,A,E,95.0,CAVOUR ST.,F,,D,8/21/2015 8:13:23 AM,8/21/2015 8:13:23 AM,,,2,,,,,,,
10262,9370-2015-0169,1,False,9370,8/10/2015 6:20:00 PM,1820,52,14,109,Oakland,1,True,True,C,REAR END,,Monday,Yes,False,,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,1,0,A,DAYLIGHT,37.464234,-122.10749,,,,,A,NO PEDESTRIANS INVOLVED,8/10/2015 12:00:00 AM,A,21658(a),False,1,I-580 E/B,,,8/21/2015 8:04:09 AM,A,W,1478.0,Edwards Ave,F,,D,8/21/2015 8:04:54 AM,8/21/2015 8:04:54 AM,,,2,,,,,,,
10261,9370-2015-0057,1,False,9370,8/2/2015 1:50:00 PM,1350,176,14,109,Oakland,1,True,True,C,REAR END,,Sunday,NotApplicable,False,M,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.772373,-122.225544,,,,,A,NO PEDESTRIANS INVOLVED,8/2/2015 12:00:00 AM,A,22350 VC,False,1,I-880 S/B,,,8/21/2015 7:53:32 AM,A,N,1584.0,High Street,F,,D,8/21/2015 7:54:05 AM,8/21/2015 7:54:05 AM,,,2,,,,,,,
9839,9370-2015-0273,1,False,9370,8/18/2015 1:50:00 PM,1350,176,14,109,Oakland,1,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.74871,-122.20378,,,,,A,NO PEDESTRIANS INVOLVED,8/18/2015 12:00:00 AM,A,22350,False,1,I-880 S/B,,,8/19/2015 4:02:31 PM,A,S,2000.0,66th Ave,F,,D,8/19/2015 4:03:13 PM,8/19/2015 4:03:13 PM,,,2,,,,,,,
9827,9370-2015-0271,2,False,9370,8/18/2015 3:00:00 PM,1500,176,14,109,Oakland,1,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.77297,-122.22726,,,,,A,NO PEDESTRIANS INVOLVED,8/18/2015 12:00:00 AM,A,22350,False,1,I-880 S/B,,,8/25/2015 10:50:00 AM,A,S,200.0,Fruitvale Ave,F,,D,8/19/2015 3:31:57 PM,8/25/2015 10:50:19 AM,,,2,,,,,,,
9804,9335-2015-0176,1,False,9335,8/5/2015 8:00:00 AM,800,82,14,109,Oakland,1,True,True,C,REAR END,,Wednesday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.49154,-122.20169,,,,,A,NO PEDESTRIANS INVOLVED,8/5/2015 12:00:00 AM,A,22350,False,1,I-80 W/B,,,8/19/2015 2:51:34 PM,A,W,1.3,TOLL PLAZA,M,,D,8/19/2015 2:52:08 PM,8/19/2015 2:52:08 PM,,,2,,,,,,,
9797,9370-2015-0244,1,False,9370,8/14/2015 6:45:00 PM,1845,52,14,109,Oakland,1,True,True,C,REAR END,,Friday,NotApplicable,False,,,False,True,False,OAKLAND SUPERIOR,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.774067,-122.160053,,,,,A,NO PEDESTRIANS INVOLVED,8/15/2015 12:00:00 AM,A,22350,False,1,I-580 E/B (MACARTHUR FREEWAY),,,8/19/2015 2:43:02 PM,A,W,1400.0,KELLER AVENUE,F,,D,8/19/2015 2:43:51 PM,8/19/2015 2:43:51 PM,,,2,,,,,,,
9786,9370-2015-0243,1,False,9370,8/14/2015 6:05:00 PM,1805,52,14,109,Oakland,1,True,True,C,REAR END,,Friday,NotApplicable,False,,,False,True,True,OAKLAND SUPERIOR,C,OTHER MOTOR VEHICLE,,1,0,A,DAYLIGHT,37.783906,-122.180884,,,,,A,NO PEDESTRIANS INVOLVED,8/15/2015 12:00:00 AM,A,22350,False,1,I-580 E/B (MACARTHUR FREEWAY),,,8/19/2015 2:27:56 PM,A,W,200.0,DAVENPORT AVENUE,F,,D,8/19/2015 2:28:35 PM,8/19/2015 2:28:35 PM,,,2,,,,,,,
9732,9370-2015-0215,1,False,9370,8/14/2015 1:20:00 PM,1320,55,14,109,Oakland,1,True,True,E,HIT OBJECT,,Friday,NotApplicable,False,M,,False,True,True,Oakland Superior,I,FIXED OBJECT,6 RAISED CURB,0,0,A,DAYLIGHT,37.823233,-122.262631,,,,,A,NO PEDESTRIANS INVOLVED,8/14/2015 12:00:00 AM,A,22107 VC,False,1,I-580 W/B,,,8/19/2015 1:05:36 PM,A,W,165.0,Webster Street,F,,D,8/19/2015 1:06:16 PM,8/19/2015 1:06:16 PM,,,2,,,,,,,
9717,9370-2015-0220,1,False,9370,8/14/2015 9:18:00 PM,2118,8,14,109,Oakland,1,True,True,C,REAR END,,Friday,NotApplicable,False,M,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,D,DARK-NO STREET LIGHTS,37.492805,-122.183802,,,,,A,NO PEDESTRIANS INVOLVED,8/14/2015 12:00:00 AM,A,22350,False,1,I-80 W/B,,,8/19/2015 12:35:04 PM,A,E,938.0,SFOBB Toll Plaza,F,,D,8/19/2015 12:36:12 PM,8/19/2015 12:36:12 PM,,,2,,,,,,,
9708,9390-2015-0113,1,False,9370,8/6/2015 5:27:00 AM,527,178,14,109,Oakland,1,True,True,C,REAR END,,Thursday,NotApplicable,False,,,False,True,False,OAKLAND SUPERIOR,C,OTHER MOTOR VEHICLE,,0,0,D,DARK-NO STREET LIGHTS,37.8236,-122.3022,,,,,A,NO PEDESTRIANS INVOLVED,8/6/2015 12:00:00 AM,A,22350,False,1,I-880 NB TO I-80 WB,,,8/19/2015 12:16:31 PM,A,S,1007.0,I-80 E/B,F,,D,8/19/2015 12:17:28 PM,8/19/2015 12:17:28 PM,,,2,,,,,,,
9664,9370-2015-0245,1,False,9370,8/13/2015 11:40:00 PM,2340,55,14,109,Oakland,1,True,True,E,HIT OBJECT,,Thursday,Yes,False,,,False,True,False,Oakland Superior,I,FIXED OBJECT,6 RAISED CURB,1,0,B,DUSK-DAWN,37.4924,-122.15466,,,,,A,NO PEDESTRIANS INVOLVED,8/13/2015 12:00:00 AM,A,22107,False,1,I-580 W/B to I-980 W/B,,,8/19/2015 10:31:03 AM,A,W,250.0,Webster St,F,,D,8/19/2015 10:31:56 AM,8/19/2015 10:31:56 AM,,,2,,,,,,,
9603,9335-2015-0258,1,False,9335,8/12/2015 2:05:00 AM,205,84,14,109,Oakland,1,True,True,E,HIT OBJECT,,Wednesday,Yes,False,F,,False,True,True,Oakland Superior,I,FIXED OBJECT,CONCRETE WALL,1,0,C,DARK-STREET LIGHTS,37.82021,-122.34108,,,,,A,NO PEDESTRIANS INVOLVED,8/12/2015 12:00:00 AM,A,23152(a),False,1,I-80 E/B,,,8/19/2015 8:35:24 AM,A,E,0.5,SAN FRANCISCO OAKLAND COUNTY LINE,M,,A,8/19/2015 8:36:35 AM,8/19/2015 8:36:35 AM,,,2,,,,,,,
9595,9370-2015-0202,2,False,9370,8/13/2015 12:32:00 PM,1232,55,14,109,Oakland,1,True,True,B,SIDE SWIPE,,Thursday,NotApplicable,False,,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.82742,-122.29089,,,,,A,NO PEDESTRIANS INVOLVED,8/13/2015 12:00:00 AM,A,21658(a),False,1,I-580 W/B to I-80 E/B,,,8/21/2015 12:20:54 PM,A,E,50.0,Wood St,F,,D,8/19/2015 8:27:46 AM,8/21/2015 12:21:14 PM,,,2,,,,,,,
9558,9370-2015-0208,1,False,9370,8/13/2015 5:23:00 PM,1723,52,14,109,Oakland,1,True,True,C,REAR END,,Thursday,NotApplicable,False,,,False,True,False,OAKLAND SUPERIOR,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.786969,-122.19677,,,,,A,NO PEDESTRIANS INVOLVED,8/13/2015 12:00:00 AM,A,22350,False,1,I-580 E/B (MACARTHUR FREEWAY),,,8/19/2015 7:02:39 AM,A,W,200.0,HIGH STREET,F,,D,8/19/2015 7:03:12 AM,8/19/2015 7:03:12 AM,,,2,,,,,,,
9555,9370-2015-0119,2,False,9370,8/7/2015 5:02:00 AM,502,24,14,109,Oakland,1,True,True,D,BROADSIDE,,Friday,NotApplicable,False,,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,D,DARK-NO STREET LIGHTS,37.852389,-122.222581,,,,,A,NO PEDESTRIANS INVOLVED,8/7/2015 12:00:00 AM,A,22350,False,2,SR-24 W/B,,,10/1/2015 7:48:51 AM,A,E,525.0,Kay St.,F,,A,8/19/2015 6:50:51 AM,10/1/2015 7:49:31 AM,,,2,,,,,,,
9548,9370-2015-0117,1,False,9370,8/7/2015 5:15:00 AM,515,24,14,109,Oakland,1,True,True,C,REAR END,,Friday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,D,DARK-NO STREET LIGHTS,37.852389,-122.222581,,,,,A,NO PEDESTRIANS INVOLVED,8/7/2015 12:00:00 AM,A,22350,False,1,SR-24 W/B,,,8/19/2015 6:25:03 AM,A,E,520.0,Kay St,F,,D,8/19/2015 6:25:43 AM,8/19/2015 6:25:43 AM,,,2,,,,,,,
9496,9370-2015-0183,1,False,9370,8/12/2015 1:20:00 PM,1320,55,14,109,Oakland,1,True,True,C,REAR END,,Wednesday,NotApplicable,False,,,False,True,True,OAKLAND SUPERIOR,C,OTHER MOTOR VEHICLE,,1,0,A,DAYLIGHT,37.4915,-122.1524,,,,,A,NO PEDESTRIANS INVOLVED,8/12/2015 12:00:00 AM,A,22350,False,1,I-580 W/B,,,8/18/2015 3:37:53 PM,A,E,638.0,PIEDMONT AVE.,F,,D,8/18/2015 3:38:39 PM,8/18/2015 3:38:39 PM,,,2,,,,,,,
9484,9370-2015-0182,1,False,9370,8/12/2015 7:42:00 AM,742,52,14,109,Oakland,1,True,True,C,REAR END,,Wednesday,NotApplicable,False,M,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.734814,-122.139717,,,,,A,NO PEDESTRIANS INVOLVED,8/12/2015 12:00:00 AM,A,22350,False,2,I-580 W/B,,,8/18/2015 3:10:14 PM,A,W,500.0,Dutton Ave,F,,D,8/18/2015 3:11:09 PM,8/18/2015 3:11:09 PM,,,2,,,,,,,
9441,9370-2015-0028,1,False,9370,7/29/2015 3:55:00 PM,1555,52,14,109,Oakland,1,True,True,C,REAR END,,Wednesday,NotApplicable,False,,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.750089,-122.151312,,,,,A,NO PEDESTRIANS INVOLVED,7/29/2015 12:00:00 AM,A,22350,False,3,I-580 W/B,,,8/18/2015 2:02:56 PM,A,E,865.0,Golf Links Rd,F,,D,8/18/2015 2:03:38 PM,8/18/2015 2:03:38 PM,,,2,,,,,,,
9424,9370-2015-0224,1,False,9370,8/15/2015 11:05:00 AM,1105,98,14,109,Oakland,1,True,True,C,REAR END,,Saturday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.49267,-122.16154,,,,,A,NO PEDESTRIANS INVOLVED,8/15/2015 12:00:00 AM,A,22350,False,1,I-980 W/B to 27th St.,,,8/18/2015 1:46:24 PM,A,E,250.0,27th St.,F,,D,8/18/2015 1:47:07 PM,8/18/2015 1:47:07 PM,,,2,,,,,,,
9416,9370-2015-0205,1,False,9370,8/13/2015 4:30:00 PM,1630,177,14,109,Oakland,1,True,True,C,REAR END,,Thursday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.799469,-122.275543,,,,,A,NO PEDESTRIANS INVOLVED,8/13/2015 12:00:00 AM,A,22350,False,1,I-880 S/B,,,8/18/2015 1:39:13 PM,A,S,655.0,CASTRO STREET U/C,F,,D,8/18/2015 1:39:53 PM,8/18/2015 1:39:53 PM,,,2,,,,,,,
9398,9370-2015-0025,1,False,9370,7/29/2015 7:30:00 AM,730,52,14,109,Oakland,1,True,True,B,SIDE SWIPE,,Wednesday,NotApplicable,False,,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.754079,-122.151186,,,,,A,NO PEDESTRIANS INVOLVED,7/29/2015 12:00:00 AM,A,21658(a),False,1,I-580 E/B,,,8/18/2015 1:15:24 PM,A,W,98.0,Golf Links Rd,F,,D,8/18/2015 1:16:07 PM,8/18/2015 1:16:07 PM,,,2,,,,,,,
9255,9370-2015-0172,1,False,9370,8/11/2015 4:02:00 AM,402,8,14,109,Oakland,1,True,True,C,REAR END,,Tuesday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,C,DARK-STREET LIGHTS,37.82448,-122.31246,,,,,A,NO PEDESTRIANS INVOLVED,8/11/2015 12:00:00 AM,A,22106,False,1,I-80 W/B,,,8/18/2015 9:16:00 AM,A,E,400.0,SFOBB TOLL PLAZA,F,,A,8/18/2015 9:16:38 AM,8/18/2015 9:16:38 AM,,,2,,,,,,,
9211,9370-2015-0064,1,False,9370,8/2/2015 12:24:00 AM,24,8,14,109,Oakland,1,True,True,A,HEAD-ON,,Sunday,Yes,False,,,False,True,True,OAKLAND SUPERIOR,C,OTHER MOTOR VEHICLE,,1,0,C,DARK-STREET LIGHTS,37.82479,-122.3127,,,,,A,NO PEDESTRIANS INVOLVED,8/2/2015 12:00:00 AM,A,21651(b),True,1,I-80 WB,,,8/18/2015 8:23:34 AM,A,W,900.0,W. GRAND AVE,F,,D,8/18/2015 8:24:16 AM,8/18/2015 8:24:16 AM,,,2,,,,,,,
9184,9370-2015-0118,1,False,9370,8/7/2015 5:08:00 AM,508,24,14,109,Oakland,1,True,True,B,SIDE SWIPE,,Friday,NotApplicable,False,M,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,C,DARK-STREET LIGHTS,37.85416,-122.22065,,,,,A,NO PEDESTRIANS INVOLVED,8/7/2015 12:00:00 AM,A,21658(a),False,1,SR-24 W/B,,,8/18/2015 7:43:13 AM,A,E,510.0,KAY St.,F,,D,8/18/2015 7:43:46 AM,8/18/2015 7:43:46 AM,,,2,,,,,,,
9168,9370-2015-0049,1,False,9370,8/1/2015 6:13:00 PM,1813,8,14,109,Oakland,1,True,True,C,REAR END,,Saturday,NotApplicable,False,M,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.493076,-122.182907,,,,,A,NO PEDESTRIANS INVOLVED,8/1/2015 12:00:00 AM,A,22350,False,1,I-80 W/B,,,8/18/2015 6:49:00 AM,A,E,374.0,W. GRAND AVE,F,,D,8/18/2015 6:50:21 AM,8/18/2015 6:50:21 AM,,,2,,,,,,,
9143,9370-2015-0225,1,False,9370,8/15/2015 4:00:00 PM,1600,178,14,109,Oakland,1,True,True,C,REAR END,,Saturday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.824196,-122.303697,,,,,A,NO PEDESTRIANS INVOLVED,8/15/2015 12:00:00 AM,A,22350,False,1,I-880 N/B TO I-80 W/B,,,8/17/2015 4:45:21 PM,A,N,1050.0,Maritime St,F,,D,8/17/2015 4:46:00 PM,8/17/2015 4:46:00 PM,,,2,,,,,,,
9139,9370-2015-0176,2,False,9370,8/11/2015 12:40:00 PM,1240,176,14,109,Oakland,1,True,True,B,SIDE SWIPE,,Tuesday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.73994,-122.1955,,,,,A,NO PEDESTRIANS INVOLVED,8/11/2015 12:00:00 AM,A,21658(a),False,1,I-880 N/B,,,9/30/2015 5:36:38 PM,A,S,200.0,Hegenberger Rd,F,,D,8/17/2015 4:41:28 PM,9/30/2015 5:36:53 PM,,,2,,,,,,,
