collision-id,report-number,report-version,is-preliminary,ncic-code,crash-date-time,crash-time-description,beat,city-id,city-code,city-name,county-code,city-is-active,city-is-incorporated,collision-type-code,collision-type-description,collision-type-other-desc,day-of-week,dispatch-notified,has-photographs,hit-run,is-attachments-mailed,is-deleted,is-highway-related,is-tow-away,judicial-district,motor-vehicle-involved-with-code,motor-vehicle-involved-with-desc,motor-vehicle-involved-with-other-desc,number-injured,number-killed,lighting-code,lighting-description,latitude,longitude,milepost-direction,milepost-distance,milepost-marker,milepost-unit-of-measure,pedestrian-action-code,pedestrian-action-desc,prepared-date,primary-collision-factor-code,primary-collision-factor-description,primary-collision-factor-is-cited,primary-collision-party-number,primary-road,reporting-district,reporting-district-code,reviewed-date,roadway-surface-code,secondary-direction,secondary-distance,secondary-road,secondary-unit-of-measure,sketch-desc,traffic-control-device-code,created-date,modified-date,is-county-road,is-freeway,chp-555-version,is-additonal-object-struck,notification-date,notification-time-description,has-digital-media-files,evidence-number,is-location-refer-to-narrative,is-aoi-one-same-as-location
10540,9370-2015-0226,1,False,9370,8/15/2015 3:00:00 PM,1500,54,14,109,Oakland,1,True,True,C,REAR END,,Saturday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.80587,-122.23667,,,,,A,NO PEDESTRIANS INVOLVED,8/15/2015 12:00:00 AM,A,22350,False,2,I-580 E/B,,,8/23/2015 4:33:38 PM,A,W,1400.0,Park Blvd,F,,D,8/23/2015 4:35:05 PM,8/23/2015 4:35:05 PM,,,2,,,,,,,
10497,9370-2015-0143,1,False,9370,8/9/2015 12:50:00 PM,1250,24,14,109,Oakland,1,True,True,B,SIDE SWIPE,,Sunday,NotApplicable,False,M,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.8545,-122.2183,,,,,A,NO PEDESTRIANS INVOLVED,8/9/2015 12:00:00 AM,A,21658(a)VC,False,1,SR-24 E/B,,,8/22/2015 2:27:03 PM,A,W,241.0,CALDECOTT TUNNEL BORE # 1,F,,D,8/22/2015 2:27:51 PM,8/22/2015 2:27:51 PM,,,2,,,,,,,
10465,9370-2015-0260,1,False,9370,8/11/2015 5:40:00 PM,1740,52,14,109,Oakland,1,True,True,E,HIT OBJECT,,Tuesday,Yes,False,,,False,True,True,Oakland Superior,I,FIXED OBJECT,DIRT BERM,1,0,A,DAYLIGHT,37.74158,-122.14489,,,,,A,NO PEDESTRIANS INVOLVED,8/11/2015 12:00:00 AM,C,,,,I-580 W/B,,,8/21/2015 5:20:17 PM,A,E,1060.0,98th Ave,F,,D,8/21/2015 5:20:47 PM,8/21/2015 5:20:47 PM,,,2,,,,,,,
10464,9370-2015-0121,1,False,9370,8/7/2015 5:11:00 AM,511,24,14,109,Oakland,1,True,True,C,REAR END,,Friday,Yes,False,,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,1,0,C,DARK-STREET LIGHTS,37.852389,-122.222581,,,,,A,NO PEDESTRIANS INVOLVED,8/7/2015 12:00:00 AM,A,22350,False,1,SR-24 W/B,,,8/21/2015 5:09:18 PM,A,E,450.0,Kay Street,F,,D,8/21/2015 5:11:15 PM,8/21/2015 5:11:15 PM,,,2,,,,,,,
10456,9370-2015-0120,1,False,9370,8/7/2015 5:10:00 AM,510,24,14,109,Oakland,1,True,True,E,HIT OBJECT,,Friday,Yes,False,,,False,True,True,Oakland Superior,I,FIXED OBJECT,Raised Curb,1,0,D,DARK-NO STREET LIGHTS,37.852389,-122.222581,,,,,A,NO PEDESTRIANS INVOLVED,8/7/2015 12:00:00 AM,A,22107,False,1,SR-24 W/B,,,8/21/2015 4:51:21 PM,A,E,490.0,KAY ST,F,,D,8/21/2015 4:52:20 PM,8/21/2015 4:52:20 PM,,,2,,,,,,,
10389,9370-2015-0240,1,False,9370,8/16/2015 12:10:00 PM,1210,55,14,109,Oakland,1,True,True,C,REAR END,,Sunday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.827391,-122.296188,,,,,A,NO PEDESTRIANS INVOLVED,8/16/2015 12:00:00 AM,A,22350,False,1,I-580 W/B TO I-80 W/B,,,8/21/2015 1:55:27 PM,A,W,440.0,I-80 E/B,F,,D,8/21/2015 1:56:14 PM,8/21/2015 1:56:14 PM,,,2,,,,,,,
10387,9370-2015-0204,1,False,9370,8/13/2015 9:42:00 AM,942,55,14,109,Oakland,1,True,True,B,SIDE SWIPE,,Thursday,NotApplicable,False,,,False,True,False,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.826888,-122.286612,,,,,A,NO PEDESTRIANS INVOLVED,8/13/2015 12:00:00 AM,A,21658(a) VC,False,1,I-580 W/B,,,8/21/2015 1:42:06 PM,A,W,580.0,Hollis Street,F,,D,8/21/2015 1:42:45 PM,8/21/2015 1:42:45 PM,,,2,,,,,,,
10369,9370-2015-0246,1,False,9370,8/15/2015 2:21:00 PM,1421,55,14,109,Oakland,1,True,True,C,REAR END,,Saturday,NotApplicable,False,,,False,True,False,OAKLAND SUPERIOR,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.828013,-122.29434,,,,,A,NO PEDESTRIANS INVOLVED,8/15/2015 12:00:00 AM,A,22350,False,1,I-580 W/B TO I-80 W/B,,,8/21/2015 12:43:54 PM,A,W,1500.0,BEACH STREET,F,,D,8/21/2015 12:44:33 PM,8/21/2015 12:44:33 PM,,,2,,,,,,,
10365,9370-2015-0221,1,False,9370,8/15/2015 12:47:00 AM,47,55,14,109,Oakland,1,True,True,E,HIT OBJECT,,Saturday,NotApplicable,False,,,False,True,True,Oakland Superior,I,FIXED OBJECT,6 Raised Curb,0,0,C,DARK-STREET LIGHTS,37.9254,-122.274,,,,,A,NO PEDESTRIANS INVOLVED,8/15/2015 12:00:00 AM,A,22107,False,1,I-580 E/B,,,8/21/2015 12:38:12 PM,A,E,350.0,Market Street,F,,D,8/21/2015 12:38:50 PM,8/21/2015 12:38:50 PM,,,2,,,,,,,
10333,9370-2015-0237,1,False,9370,8/15/2015 10:40:00 AM,1040,55,14,109,Oakland,1,True,True,C,REAR END,,Saturday,NotApplicable,False,,,False,True,True,Oakland Superior,C,OTHER MOTOR VEHICLE,,0,0,A,DAYLIGHT,37.893,-122.2974,,,,,A,NO PEDESTRIANS INVOLVED,8/15/2015 12:00:00 AM,A,22350 VC,False,1,I-580 W/B TO I-80 E/B,,,8/21/2015 11:25:52 AM,A,W,75.0,MANDELA PARKWAY,F,,D,8/21/2015 11:26:36 AM,8/21/2015 11:26:36 AM,,,2,,,,,,,
